[c],name,start,stop,
csiro:A000601,CSIRO National Measurement Laboratory,1/07/1974,1/01/1979,
csiro:A000680,CSIRO Northern Australian Regional Survey Section,1/01/1945,31/12/1950,
csiro:A000602,CSIRO Office of Space Science and Applications (COSSA),1/01/1988,30/06/1996,
csiro:A000701,CSIRO Ore Dressing Investigations,1/01/1934,28/02/1970,
csiro:A000744,CSIRO Organic Chemistry Section,8/10/1958,31/12/1961,
csiro:A000784,CSIRO Physical Technology Unit,1/01/1980,31/12/1988,
csiro:A000695,CSIRO Physics and Engineering Unit,1/01/1949,31/12/1958,
csiro:A000603,CSIRO Rangeland Research Centre,1/01/1986,31/12/1995,
csiro:A000574,CSIRO Section of Mathematical Instruments,1/01/1950,31/12/1959,
csiro:A000730,CSIRO Sheep Biology Laboratory,1/01/1953,31/12/1959,
csiro:A000789,CSIRO Soil Mechanics Section,1/01/1955,31/12/1967,
csiro:A000790,CSIRO Soil Physics and Mechanics Section,1/01/1943,31/12/1955,
csiro:A000767,CSIRO Water Resources Research,1/01/1987,31/12/1989,
csiro:A000798,CSIRO Wheat Research Unit,1/01/1947,31/12/1992,
csiro:A000608,CSIRO Wildlife Survey Section,1/01/1949,31/12/1962,
csiro:A000694,CSIRO Wool Textile Research Laboratories,1/01/1949,31/12/1958,
csiro:A000293,Defence Research Laboratories,1/07/1948,30/10/1953,
csiro:A000998,Defence Standards Laboratories,30/10/1953,19/09/1974,
csiro:A002117,F. D. McMaster Animal Health Laboratory - CSIRO,1/01/1931,31/12/1963,
csiro:A000587,Forest Research Institute,1/01/1964,31/12/1975,
csiro:A000586,Forestry and Timber Bureau,1/04/1946,28/02/1978,
csiro:A000747,Industrial Atomic Energy Policy Committee,1/01/1949,30/04/1952,
csiro:A000632,Institute of Animal and Food Sciences - CSIRO,12/12/1978,31/12/1987,
csiro:A000629,Institute of Animal Production and Processing - CSIRO,1/01/1988,30/06/1996,
csiro:A000623,Institute of Energy and Earth Resources - CSIRO,1/09/1981,31/12/1987,
